time	SP	PV	CV	Tci
0	76	76	34.4	320
2	76	75.9999999464343	34.4000046917285	320
4	76	75.9999994667677	34.400041138804	320
6	76	75.9999979000184	34.4001448331712	320
8	76	75.999994421901	34.4003477284232	320
10	76	75.9999881256757	34.4006750504754	320
12	76	75.999978083795	34.4011448065805	320
14	76	75.9999633941865	34.4017683773918	320
16	76	75.999943214328	34.4025514615965	320
18	76	75.9999167856696	34.4034950570769	320
20	76	75.9998834504604	34.4045963544361	320
22	76	75.9998426626173	34.4058495051628	320
24	76	75.9997939939302	34.4072462642559	320
26	76	75.9997371366308	34.4087765208443	320
28	76	75.9996719031244	34.4104287351061	320
30	76	75.9995982235182	34.4121902984002	320
32	76	75.999516141444	34.4140478318431	320
34	76	75.9994258085638	34.4159874360052	320
36	76	75.9993274780722	34.4179949014328	320
38	76	75.9992214974401	34.4200558881809	320
40	76	75.9991083006039	34.4221560800658	320
42	76	75.9989883997589	34.4242813185975	320
44	76	75.9988623768946	34.4264177198481	320
46	76	75.9987308751827	34.4285517769895	320
48	76	75.998594590314	34.430670450385	320
50	76	75.9984542618648	34.4327612467883	320
52	76	75.998310664765	34.4348122885779	320
54	76	75.9981646009286	34.4368123739916	320
56	76	75.9980168911018	34.4387510288198	320
58	76	75.9978683669754	34.4406185501945	320
60	76	75.9977198636061	34.4424060426853	320
62	76	75.9975722121819	34.4441054471145	320
64	76	75.997426233164	34.4457095624741	320
66	76	75.9972827298363	34.4472120609284	320
68	76	75.9971424822832	34.4486074964711	320
70	76	75.997006241817	34.4498913073333	320
72	76	75.9968747258722	34.4510598124508	320
74	76	75.9967486133776	34.4521102022844	320
76	76	75.9966285406157	34.4530405243097	320
78	76	75.9965150975759	34.4538496634508	320
80	76	75.996408824802	34.4545373178302	320
82	76	75.9963102107342	34.4551039701576	320
84	76	75.9962196895406	34.4555508551515	320
86	76	75.9961376394323	34.4558799232635	320
88	76	75.9960643814514	34.456093801221	320
90	76	75.9960001787196	34.4561957496224	320
92	76	75.9959452361327	34.4561896181417	320
94	76	75.995899700485	34.4560797984999	320
96	76	75.9958636610021	34.4558711758327	320
98	76	75.9958371502647	34.4555690786584	320
100	81	75.9958201454968	71.4956687793811	320
102	81	75.995813955328	72.2427492920996	320
104	81	75.995856661137	72.9865036588473	320
106	81	75.9961297147241	73.7141152007408	320
108	81	75.99704890253	74.4009092561147	320
110	81	75.9992929687912	75.0135222065117	320
112	81	76.0037773049836	75.5152631369322	320
114	81	76.0115914566161	75.8713728257424	320
116	81	76.0239199706583	76.0529762085624	320
118	81	76.0419618926391	76.0393882121863	320
120	81	76.0668587795892	75.818940903196	320
122	81	76.0996363868245	75.388707163033	320
124	81	76.1411617962133	74.7535184851912	320
126	81	76.1921155934657	73.9246112360566	320
128	81	76.2529774780046	72.9181481849613	320
130	81	76.3240231089874	71.7537800747084	320
132	81	76.4053298273333	70.4533460739472	320
134	81	76.49678898454	69.039763367553	320
136	81	76.5981228439522	67.5361225478651	320
138	81	76.7089043240938	65.964983680665	320
140	81	76.8285781769143	64.3478549650249	320
142	81	76.9564825044594	62.7048293155673	320
144	81	77.0918697968592	61.0543519995329	320
146	81	77.2339269134884	59.4130931240228	320
148	81	77.3817936252315	57.7959011277449	320
150	81	77.534579490868	56.2158166369011	320
152	81	77.6913789590527	54.6841295097819	320
154	81	77.8512846747166	53.2104652429215	320
156	81	78.0133990306636	51.8028899289418	320
158	81	78.1768440470235	50.4680255431472	320
160	81	78.3407696877246	49.2111694717845	320
162	81	78.5043607381699	48.0364139038305	320
164	81	78.6668423749711	46.946762041973	320
166	81	78.8274845593751	45.9442391052361	320
168	81	78.985605382769	45.0299968554524	320
170	81	79.1405734867537	44.2044109374262	320
172	81	79.2918096727584	43.467170723265	320
174	81	79.4387878077403	42.8173616344978	320
176	81	79.5810351236916	42.2535401109536	320
178	81	79.7181319997989	41.7738015266211	320
180	81	79.8497113074094	41.3758414379043	320
182	81	79.975457389597	41.0570106016208	320
184	81	80.0951047391814	40.8143642293251	320
186	81	80.2084364315932	40.6447059569673	320
188	81	80.3152823620098	40.5446270109231	320
190	81	80.415517329732	40.5105410450749	320
192	81	80.509059006814	40.5387151123332	320
194	81	80.5958658224908	40.6252972193583	320
196	81	80.6759347899531	40.7663408957007	320
198	81	80.7492992974808	40.9578271891967	320
200	81	80.8160268818475	41.195684479025	320
202	81	80.8762169982284	41.4758064753433	320
204	81	80.9299987975727	41.7940687513833	320
206	81	80.9775289195264	42.1463441286146	320
208	81	81.0189893064938	42.5285172092762	320
210	81	81.054585042315	42.9364983216999	320
212	81	81.0845422172776	43.3662371138603	320
214	81	81.1091058198062	43.8137359970022	320
216	81	81.1285376541365	44.2750636062512	320
218	81	81.1431142826155	44.7463684071038	320
220	81	81.15312499094	45.2238925364217	320
222	81	81.1588697746533	45.7039859244672	320
224	81	81.1606573455613	46.1831207003127	320
226	81	81.1588031573552	46.6579058387245	320
228	81	81.1536274506462	47.1251019615156	320
230	81	81.1454533187644	47.5816361633503	320
232	81	81.1346047970202	48.0246166912081	320
234	81	81.12140497962	48.4513472698175	320
236	81	81.1061741699919	48.8593408350583	320
238	81	81.0892280718715	49.24633241289	320
240	81	81.070876030017	49.6102908670543	320
242	81	81.0514193308206	49.9494292331283	320
244	81	81.0311495742684	50.2622133623124	320
246	81	81.0103471296083	50.5473686148183	320
248	81	80.9892796876612	50.8038843704742	320
250	81	80.9682009228962	51.0310161620938	320
252	81	80.947349278163	51.2282852843442	320
254	81	80.9269468843136	51.3954757854104	320
256	81	80.907198625857	51.5326288085083	320
258	81	80.8882913623039	51.6400343131795	320
260	81	80.8703933130065	51.7182202687105	320
262	81	80.853653611152	51.7679394729319	320
264	81	80.8382020301948	51.7901542043511	320
266	81	80.8241488834907	51.7860189643589	320
268	81	80.8115850953179	51.7568616053388	320
270	81	80.8005824389216	51.7041631695527	320
272	81	80.7911939347731	51.6295367825656	320
274	81	80.7834543999836	51.5347059517044	320
276	81	80.7773811377989	51.4214826174857	320
278	81	80.7729747543873	51.2917452929502	320
280	81	80.7702200887519	51.1474176047197	320
282	81	80.7690872405601	50.9904475214716	320
284	81	80.7695326800136	50.822787521905	320
286	81	80.7715004235435	50.6463759176707	320
288	81	80.7749232591215	50.4631195072827	320
290	81	80.7797240052768	50.2748776978532	320
292	81	80.7858167884757	50.0834481928036	320
294	81	80.7931083243149	49.8905543070838	320
296	81	80.8014991889658	49.6978339374679	320
298	81	80.8108850684216	49.5068301855821	320
300	81	80.8211579743378	49.3189836042171	320
302	81	80.8322074165399	49.1356260156214	320
304	81	80.8439215235998	48.9579758317847	320
306	81	80.8561881041995	48.7871347923521	320
308	81	80.8688956432973	48.6240860253498	320
310	81	80.8819342283523	48.4696933282444	320
312	81	80.8951964020464	48.3247015628693	320
314	81	80.9085779390305	48.1897380561946	320
316	81	80.9219785452456	48.0653148989984	320
318	81	80.9353024792695	47.9518320375264	320
320	81	80.9484590959682	47.8495810565676	320
322	81	80.9613633134456	47.758749557685	320
324	81	80.9739360049155	47.6794260415627	320
326	81	80.9861043176507	47.6116052102715	320
328	81	80.9978019216181	47.555193610933	320
330	81	81.0089691907735	47.5100155495217	320
332	81	81.0195533202909	47.4758192093703	320
334	81	81.0295083832286	47.4522829153889	320
336	81	81.0387953303088	47.439021490774	320
338	81	81.0473819366077	47.4355926583069	320
340	81	81.0552426990296	47.4415034433789	320
342	81	81.0623586884745	47.4562165403889	320
344	81	81.0687173606176	47.4791566080016	320
346	81	81.0743123291959	47.5097164623484	320
348	81	81.0791431056558	47.5472631404051	320
350	81	81.0832148089549	47.5911438081817	320
352	81	81.0865378492359	47.6406914909919	320
354	81	81.0891275890105	47.6952306045067	320
356	81	81.0910039853901	47.7540822675676	320
358	81	81.0921912168099	47.8165693785887	320
360	81	81.0927172975794	47.8820214391889	320
362	81	81.0926136834892	47.9497791094695	320
364	81	81.0919148715899	48.0191984807314	320
366	81	81.0906579971386	48.0896550525735	320
368	81	81.0888824305955	48.1605474021241	320
370	81	81.0866293774193	48.2313005350749	320
372	81	81.0839414832894	48.3013689087081	320
374	81	81.0808624472396	48.3702391194545	320
376	81	81.0774366450555	48.4374322483563	320
378	81	81.0737087651307	48.5025058603576	320
380	81	81.0697234588307	48.5650556545453	320
382	81	81.0655250072443	48.6247167653124	320
384	81	81.0611570060373	48.6811647158598	320
386	81	81.0566620699419	48.7341160284309	320
388	81	81.0520815582347	48.7833284976231	320
390	81	81.0474553223621	48.8286011356377	320
392	81	81.0428214766788	48.8697738008184	320
394	81	81.0382161930626	48.9067265230506	320
396	81	81.0336735199664	48.9393785419491	320
398	81	81.0292252262667	48.9676870756132	320
400	81	81.0249006700574	48.9916458402291	320
402	81	81.020726692345	49.0112833418119	320
404	81	81.0167275353985	49.0266609634302	320
406	81	81.0129247853215	49.0378708720945	320
408	81	81.0093373382267	49.0450337707557	320
410	81	81.0059813892291	49.0482965210523	320
412	81	81.002870443309	49.0478296631722	320
414	81	81.0000153469508	49.0438248589261	320
416	81	80.9974243393372	49.0364922838347	320
418	81	80.9951031217575	49.0260579936663	320
420	81	80.9930549437961	49.0127612896283	320
422	81	80.9912807047835	48.9968521056462	320
424	81	80.9897790689314	48.9785884396508	320
426	81	80.9885465925286	48.9582338492892	320
428	81	80.9875778615479	48.9360550307517	320
430	81	80.9868656380017	48.9123194978193	320
432	81	80.9864010133954	48.8872933760368	320
434	81	80.9861735676456	48.8612393250955	320
436	81	80.9861715318693	48.8344146006952	320
438	81	80.9863819534985	48.8070692648341	320
440	81	80.9867908622394	48.7794445517999	320
442	81	80.9873834354644	48.7517713951736	320
444	81	80.9881441617105	48.7242691191992	320
446	81	80.9890570010439	48.6971442963391	320
448	81	80.9901055411488	48.6705897710993	320
450	81	80.9912731480977	48.644783848668	320
452	81	80.9925431108625	48.6198896457212	320
454	81	80.9938987787379	48.5960545991121	320
456	81	80.9953236909468	48.5734101275828	320
458	81	80.996801697811	48.5520714401623	320
460	81	80.998317072973	48.5321374843017	320
462	81	80.9998546162589	48.5136910260948	320
464	81	81.0013997468699	48.496798854296	320
466	81	81.0029385866917	48.4815120992272	320
468	81	81.0044580335979	48.4678666575185	320
470	81	81.0059458247127	48.4558837133741	320
472	81	81.0073905896823	48.4455703465714	320
474	81	81.0087818940778	48.4369202177451	320
476	81	81.0101102731251	48.4299143211272	320
478	81	81.0113672560211	48.4245217953651	320
480	81	81.0125453811549	48.420700782814	320
482	81	81.0136382026051	48.4183993282331	320
484	81	81.0146402883304	48.4175563077751	320
486	81	81.0155472105132	48.4181023796625	320
488	81	81.0163555285476	48.4199609482283	320
490	81	81.0170627651952	48.4230491333139	320
492	81	81.0176673764539	48.4272787374915	320
494	81	81.0181687157051	48.4325572039102	320
496	81	81.0185669927127	48.4387885582339	320
498	81	81.0188632280632	48.445874328257	320
500	81	81.0190592036329	48.4537144355619	320
502	81	81.0191574096695	48.4622080540222	320
504	81	81.0191609890714	48.4712544303117	320
506	81	81.0190736794379	48.4807536621905	320
508	81	81.0188997534501	48.4906074309226	320
510	81	81.0186439581264	48.5007196845454	320
512	81	81.0183114534804	48.5109972692273	320
514	81	81.0179077510813	48.5213505066512	320
516	81	81.0174386529968	48.5316937155664	320
518	81	81.0169101915721	48.5419456763597	320
520	81	81.0163285704641	48.5520300378987	320
522	81	81.0157001073274	48.5618756663587	320
524	81	81.0150311785107	48.5714169360726	320
526	81	81.0143281660919	48.5805939632178	320
528	81	81.0135974075443	48.5893527830985	320
530	81	81.0128451482958	48.5976454724844	320
532	81	81.0120774974019	48.6054302188047	320
534	81	81.0113003865247	48.612671338026	320
536	81	81.0105195323722	48.6193392437656	320
538	81	81.0097404027148	48.6254103702757	320
540	81	81.0089681860711	48.6308670518875	320
542	81	81.0082077651121	48.6356973623673	320
544	81	81.0074636938093	48.6398949170336	320
546	81	81.0067401783155	48.6434586413697	320
548	81	81.006041061545	48.6463925093328	320
550	81	81.0053698113852	48.6487052550658	320
552	81	81.0047295124527	48.6504100616402	320
554	81	81.0041228612796	48.6515242303471	320
556	81	81.0035521647952	48.6520688341448	320
558	81	81.0030193419487	48.6520683589937	320
560	81	81.0025259283036	48.6515503362309	320
562	81	81.0020730834132	48.6505449697081	320
564	81	81.0016616007833	48.6490847606129	320
566	81	81.0012919202083	48.6472041333767	320
568	81	81.0009641422638	48.644939065392	320
570	81	81.000678044732	48.6423267234017	320
572	81	81.0004331007312	48.6394051091297	320
574	81	81.0002284983184	48.6362127164641	320
576	81	81.0000631613354	48.6327882023628	320
578	81	80.9999357712696	48.62917007341	320
580	81	80.999844789904	48.625396389751	320
582	81	80.9997884825381	48.6215044877401	320
584	81	80.9997649415645	48.6175307227423	320
586	81	80.9997721101987	48.6135102328853	320
588	81	80.999807806165	48.6094767247267	320
590	81	80.9998697451538	48.60546228128	320
592	81	80.9999555638773	48.601497192829	320
594	81	81.0000628425614	48.5976098106285	320
596	81	81.0001891267257	48.5938264235469	320
598	81	81.0003319481167	48.5901711572884	320
600	81	81.0004888446715	48.5866658959583	320
602	81	81.0006573794063	48.5833302253491	320
604	81	81.000835158136	48.5801813972149	320
606	81	81.001019845944	48.5772343138754	320
608	81	81.0012091823403	48.5745015319588	320
610	81	81.0014009950531	48.5719932845677	320
612	81	81.0015932124191	48.5697175204087	320
614	81	81.0017838743451	48.5676799589376	320
616	81	81.0019711418304	48.5658841601177	320
618	81	81.0021533050484	48.5643316075523	320
620	81	81.0023287899992	48.5630218036006	320
622	81	81.0024961637548	48.5619523751022	320
624	81	81.0026541383281	48.5611191883759	320
626	81	81.002801573206	48.5605164720856	320
628	81	81.0029374765974	48.5601369466118	320
630	81	81.0030610054511	48.5599719585153	320
632	81	81.0031714643069	48.560011618962	320
634	81	81.0032683030503	48.5602449445291	320
636	81	81.0033511136436	48.5606599995182	320
638	81	81.0034196259127	48.5612440382834	320
640	81	81.0034737024703	48.5619836466387	320
642	81	81.0035133328604	48.5628648812534	320
644	81	81.0035386270099	48.5638734060044	320
646	81	81.0035498080731	48.5649946244473	320
648	81	81.0035472047585	48.566213807513	320
650	81	81.0035312432223	48.5675162157082	320
652	81	81.0035024386153	48.5688872151501	320
654	81	81.0034613863674	48.5703123868128	320
656	81	81.0034087532906	48.571777628538	320
658	81	81.0033452685807	48.5732692493174	320
660	81	81.0032717147907	48.5747740555909	320
662	81	81.003188918852	48.5762794291422	320
664	81	81.003097743208	48.5777733965709	320
666	81	81.0029990771244	48.5792446901958	320
668	81	81.0028938282367	48.5806828002403	320
670	81	81.0027829143879	48.5820780184266	320
672	81	81.002667255804	48.5834214731645	320
674	81	81.002547767656	48.5847051561833	320
676	81	81.0024253530404	48.5859219412487	320
678	81	81.0023008964178	48.5870655948591	320
680	81	81.0021752575345	48.5881307794332	320
682	81	81.0020492658498	48.5891130493252	320
684	81	81.0019237154898	48.5900088400057	320
686	81	81.0017993607356	48.590815450924	320
688	81	81.0016769120596	48.591531022433	320
690	81	81.0015570327077	48.5921545072741	320
692	81	81.001440335831	48.592685637161	320
694	81	81.0013273821571	48.5931248849786	320
696	81	81.001218678195	48.593473423039	320
698	81	81.0011146749589	48.5937330780095	320
700	81	81.0010157671943	48.5939062829871	330
702	81	81.000924169196	48.5938282625794	330
704	81	81.000862346266	48.5917984760331	330
706	81	81.0008833445079	48.5846482437437	330
708	81	81.0010603035839	48.5691563929683	330
710	81	81.001476791355	48.5426800093977	330
712	81	81.002219532926	48.5033237877277	330
714	81	81.0033730383212	48.4499165020482	330
716	81	81.0050157241227	48.3819170733546	330
718	81	81.0072172031255	48.2993041998098	330
720	81	81.0100364824664	48.2024716893539	330
722	81	81.0135208654622	48.0921371456911	330
724	81	81.0177053966837	47.9692653306136	330
726	81	81.0226127250304	47.8350049952501	330
728	81	81.0282532872096	47.6906371709538	330
730	81	81.0346257354635	47.5375328579797	330
732	81	81.0417175498759	47.3771182881506	330
734	81	81.0495057881973	47.2108462577739	330
736	81	81.0579579357424	47.0401723386169	330
738	81	81.0670328252518	46.8665350441712	330
