time,ACO,IWO,LBBO,GA,PSO
5.6914,1.2438,1.3505,1.3115,1.3293,1.3513
5.7315,1.2458,1.3406,1.3122,1.321,1.3412
5.7715,1.2472,1.3303,1.3124,1.3122,1.3308
5.8116,1.2482,1.3197,1.3119,1.3031,1.3201
5.8517,1.2487,1.3088,1.311,1.2937,1.3091
5.8918,1.2487,1.2977,1.3095,1.284,1.2979
5.9319,1.2484,1.2866,1.3075,1.2741,1.2867
5.9719,1.2477,1.2753,1.3051,1.2641,1.2754
6.012,1.2466,1.2641,1.3022,1.2541,1.2641
6.0521,1.2452,1.2529,1.2989,1.244,1.2529
6.0922,1.2435,1.2419,1.2953,1.2339,1.2418
6.1323,1.2415,1.231,1.2913,1.2239,1.2309
6.1723,1.2392,1.2203,1.2869,1.2141,1.2202
6.2124,1.2367,1.2099,1.2823,1.2043,1.2098
6.2525,1.2339,1.1998,1.2774,1.1948,1.1997
6.2926,1.2309,1.19,1.2722,1.1856,1.19
6.3327,1.2278,1.1806,1.2668,1.1766,1.1807
6.3727,1.2245,1.1717,1.2613,1.1679,1.1718
6.4128,1.221,1.1632,1.2555,1.1596,1.1634
6.4529,1.2174,1.1551,1.2496,1.1516,1.1555
6.493,1.2137,1.1476,1.2435,1.144,1.148
6.5331,1.2098,1.1405,1.2373,1.1367,1.1411
6.5731,1.2059,1.134,1.2311,1.1299,1.1347
6.6132,1.2019,1.128,1.2247,1.1236,1.1289
6.6533,1.1979,1.1225,1.2183,1.1176,1.1236
6.6934,1.1938,1.1175,1.2119,1.1121,1.1188
6.7335,1.1897,1.1131,1.2054,1.107,1.1145
6.7735,1.1855,1.1091,1.1989,1.1023,1.1107
6.8136,1.1813,1.1057,1.1924,1.098,1.1075
6.8537,1.1771,1.1027,1.1859,1.0942,1.1047
6.8938,1.173,1.1001,1.1795,1.0907,1.1024
6.9339,1.1688,1.098,1.173,1.0877,1.1005
6.9739,1.1646,1.0964,1.1667,1.085,1.099
7.014,1.1605,1.0951,1.1604,1.0827,1.0979
7.0541,1.1564,1.0941,1.1541,1.0807,1.0972
7.0942,1.1523,1.0936,1.148,1.0791,1.0969
7.1343,1.1482,1.0933,1.1419,1.0777,1.0968
7.1743,1.1442,1.0933,1.1359,1.0767,1.097
7.2144,1.1403,1.0936,1.13,1.0759,1.0975
7.2545,1.1364,1.0941,1.1242,1.0753,1.0982
7.2946,1.1325,1.0948,1.1186,1.075,1.099
7.3347,1.1287,1.0957,1.113,1.0749,1.1001
7.3747,1.125,1.0967,1.1076,1.0749,1.1012
7.4148,1.1213,1.0978,1.1023,1.0751,1.1025
7.4549,1.1177,1.0989,1.0971,1.0755,1.1038
7.495,1.1141,1.1002,1.092,1.0759,1.1051
7.5351,1.1106,1.1014,1.0871,1.0765,1.1065
7.5752,1.1072,1.1027,1.0823,1.0771,1.1078
7.6152,1.1038,1.1039,1.0776,1.0777,1.1091
7.6553,1.1005,1.105,1.0731,1.0784,1.1103
7.6954,1.0972,1.106,1.0687,1.079,1.1114
7.7355,1.094,1.107,1.0644,1.0797,1.1123
7.7756,1.0909,1.1078,1.0603,1.0803,1.1131
7.8156,1.0879,1.1084,1.0563,1.0808,1.1137
7.8557,1.0849,1.1089,1.0525,1.0813,1.1142
7.8958,1.0819,1.1092,1.0487,1.0817,1.1144
7.9359,1.0791,1.1093,1.0451,1.0819,1.1145
7.976,1.0762,1.1091,1.0417,1.0821,1.1142
8.016,1.0735,1.1088,1.0383,1.0822,1.1138
8.0561,1.0708,1.1082,1.0351,1.0821,1.1131
8.0962,1.0682,1.1074,1.032,1.0819,1.1122
8.1363,1.0656,1.1063,1.0291,1.0815,1.1109
8.1764,1.063,1.105,1.0262,1.081,1.1095
8.2164,1.0606,1.1035,1.0235,1.0803,1.1078
8.2565,1.0581,1.1017,1.0209,1.0795,1.1058
8.2966,1.0558,1.0997,1.0184,1.0785,1.1035
8.3367,1.0535,1.0974,1.016,1.0773,1.1011
8.3768,1.0512,1.0949,1.0137,1.076,1.0983
8.4168,1.049,1.0922,1.0115,1.0745,1.0954
8.4569,1.0468,1.0892,1.0094,1.0729,1.0922
8.497,1.0447,1.0861,1.0074,1.0711,1.0888
8.5371,1.0426,1.0827,1.0055,1.0692,1.0852
8.5772,1.0406,1.0792,1.0038,1.0671,1.0814
8.6172,1.0386,1.0755,1.002,1.0649,1.0775
8.6573,1.0367,1.0716,1.0004,1.0625,1.0734
8.6974,1.0348,1.0676,0.9989,1.0601,1.0691
8.7375,1.0329,1.0635,0.99744,1.0575,1.0647
8.7776,1.0311,1.0593,0.99607,1.0548,1.0602
8.8176,1.0294,1.055,0.99478,1.052,1.0556
8.8577,1.0276,1.0506,0.99356,1.0492,1.051
8.8978,1.026,1.0461,0.99241,1.0463,1.0463
8.9379,1.0243,1.0416,0.99133,1.0433,1.0415
8.978,1.0227,1.0371,0.99031,1.0402,1.0367
9.018,1.0211,1.0325,0.98936,1.0371,1.032
9.0581,1.0196,1.028,0.98847,1.034,1.0272
9.0982,1.0181,1.0235,0.98764,1.0309,1.0225
9.1383,1.0167,1.019,0.98687,1.0278,1.0178
9.1784,1.0153,1.0146,0.98616,1.0247,1.0132
9.2184,1.0139,1.0103,0.98549,1.0216,1.0087
9.2585,1.0126,1.0061,0.98488,1.0185,1.0043
9.2986,1.0113,1.0019,0.98431,1.0154,1
9.3387,1.01,0.99791,0.9838,1.0124,0.99585
9.3788,1.0088,0.99401,0.98332,1.0095,0.99182
9.4188,1.0076,0.99025,0.98289,1.0066,0.98794
9.4589,1.0065,0.98664,0.9825,1.0038,0.98422
9.499,1.0053,0.98319,0.98216,1.0011,0.98067
9.5391,1.0043,0.9799,0.98184,0.99842,0.97731
9.5792,1.0032,0.97679,0.98157,0.99588,0.97413
9.6192,1.0022,0.97386,0.98133,0.99343,0.97114
9.6593,1.0012,0.97112,0.98112,0.99109,0.96836
9.6994,1.0003,0.96857,0.98095,0.98887,0.96578
9.7395,0.9994,0.96621,0.9808,0.98676,0.9634
9.7796,0.99853,0.96405,0.98069,0.98476,0.96124
