Jdi,Jdo,Jr
0.27625,0.44577,0.60957
0.28049,0.44366,0.6088
0.28491,0.44163,0.6081
0.28946,0.43968,0.60749
0.29413,0.4378,0.60693
0.29883,0.436,0.60646
0.30362,0.43415,0.6059
0.3084,0.43239,0.60548
0.31336,0.43062,0.60499
0.31826,0.42888,0.60454
0.32319,0.42714,0.60411
0.32815,0.42544,0.60369
0.33317,0.42376,0.60331
0.33815,0.42212,0.60299
0.34331,0.42046,0.60259
0.34855,0.4189,0.60231
0.35385,0.41748,0.60219
0.35948,0.41618,0.60213
0.36571,0.41505,0.60218
0.37149,0.4143,0.6027
0.37384,0.41406,0.60398
0.18882,0.55568,0.6645
0.18958,0.55163,0.66198
0.19081,0.54778,0.65975
0.19224,0.54407,0.65763
0.19375,0.54042,0.65542
0.19547,0.53687,0.6534
0.19729,0.53337,0.65143
0.19918,0.52991,0.64949
0.20113,0.52649,0.64758
0.20314,0.5231,0.6457
0.2052,0.51974,0.64386
0.20735,0.51644,0.64205
0.2096,0.51318,0.64029
0.212,0.51001,0.63866
0.21434,0.50681,0.63689
0.21679,0.50368,0.63523
0.21929,0.50057,0.63359
0.22183,0.49748,0.63197
0.2244,0.49441,0.63038
0.227,0.49136,0.62879
0.22964,0.48833,0.62722
0.2323,0.48531,0.62567
0.23501,0.48232,0.62415
0.23772,0.47933,0.62261
0.24048,0.47636,0.6211
0.24327,0.47342,0.61962
0.24606,0.47048,0.61812
0.24889,0.46756,0.61665
0.25174,0.46464,0.61519
0.25462,0.46175,0.61374
0.25751,0.45886,0.6123
0.26051,0.45603,0.61091
0.26387,0.45341,0.6097
0.26749,0.45094,0.60862
0.27133,0.44859,0.60765
0.27535,0.44635,0.60677
0.27954,0.4442,0.60598
0.2839,0.44214,0.60527
0.28839,0.44016,0.60461
0.29301,0.43826,0.60403
0.29774,0.43641,0.60351
0.30245,0.4346,0.60303
0.30723,0.43282,0.60258
0.31216,0.43103,0.60204
0.31706,0.42933,0.60169
0.32201,0.42755,0.60116
0.32696,0.42585,0.60076
0.33196,0.42416,0.60036
0.33693,0.42251,0.60004
0.3421,0.42085,0.59964
0.34728,0.41927,0.59934
0.35251,0.41781,0.59918
0.35824,0.41645,0.59903
0.36424,0.41531,0.59911
0.37066,0.41446,0.59946
0.37323,0.41419,0.6007
0.18955,0.55266,0.65965
0.19047,0.5487,0.6572
0.1918,0.54493,0.65499
0.19335,0.54128,0.65288
0.19505,0.53771,0.65085
0.19685,0.5342,0.64887
0.19872,0.53074,0.64692
0.20066,0.52731,0.64501
0.20265,0.52391,0.64312
0.2047,0.52055,0.64126
0.20683,0.51722,0.63944
0.20905,0.51396,0.63767
0.21142,0.51077,0.636
0.21376,0.50757,0.63425
0.2162,0.50443,0.63259
0.21868,0.50131,0.63095
0.22121,0.49822,0.62933
0.22378,0.49514,0.62772
0.22638,0.49209,0.62614
0.22901,0.48906,0.62457
0.23168,0.48604,0.62303
0.23437,0.48304,0.62148
0.2371,0.48007,0.61996
0.23986,0.4771,0.61845
0.24265,0.47416,0.61696
0.24546,0.47122,0.61548
0.2483,0.4683,0.61401
0.25116,0.4654,0.61255
0.25404,0.4625,0.61111
0.25694,0.45962,0.60967
0.25989,0.45677,0.60826
0.26319,0.45412,0.60702
0.26676,0.45161,0.60592
0.27054,0.44923,0.60492
0.27451,0.44695,0.60401
0.27865,0.44477,0.60319
0.28293,0.44268,0.60244
0.28737,0.44067,0.60177
0.29194,0.43879,0.60126
0.2966,0.43685,0.60059
0.30131,0.43503,0.6001
0.30612,0.4332,0.59956
0.311,0.43144,0.59911
0.3159,0.42971,0.59868
0.32083,0.42797,0.59823
0.32576,0.42625,0.59782
0.33075,0.42455,0.59742
0.33579,0.42289,0.59704
0.34088,0.42125,0.59669
0.34604,0.41964,0.59636
0.35129,0.41811,0.59611
0.35689,0.41676,0.59601
0.36281,0.41557,0.59605
0.36897,0.41472,0.59641
0.3713,0.41446,0.59768
0.19041,0.54976,0.65483
0.19156,0.54587,0.65253
0.19301,0.54217,0.65037
0.19471,0.53859,0.64837
0.19642,0.53505,0.64631
0.19832,0.53159,0.64442
0.20019,0.52813,0.64243
0.20218,0.52473,0.64055
0.20426,0.52137,0.63874
0.20631,0.51802,0.63684
0.20851,0.51474,0.63506
0.21082,0.51152,0.63334
0.21319,0.50834,0.63164
0.21566,0.50521,0.63002
0.2181,0.50206,0.62831
0.22063,0.49897,0.6267
0.22318,0.49589,0.62508
0.22578,0.49284,0.6235
0.22842,0.48981,0.62194
0.23108,0.48679,0.62038
0.23379,0.4838,0.61884
0.23652,0.48082,0.61733
0.23929,0.47786,0.61582
0.24209,0.47493,0.61435
0.2449,0.47199,0.61286
0.24774,0.46907,0.61139
0.2506,0.46617,0.60993
0.25349,0.46328,0.6085
0.25639,0.4604,0.60707
0.25932,0.45753,0.60563
0.26256,0.45484,0.60436
0.26607,0.45231,0.60323
0.2698,0.44989,0.6022
0.27371,0.44759,0.60127
0.27779,0.44539,0.60043
0.28202,0.44326,0.59966
0.2864,0.44122,0.59895
0.29089,0.43923,0.59829
0.29552,0.43733,0.59771
0.30023,0.43547,0.59717
0.305,0.43365,0.59666
0.30983,0.43187,0.59619
0.31473,0.43012,0.59574
0.31964,0.42839,0.59531
0.32456,0.42666,0.59488
0.32948,0.42498,0.59453
0.33462,0.42337,0.59427
0.33967,0.42164,0.59373
0.34477,0.42002,0.59341
0.35002,0.41847,0.59313
0.35554,0.41708,0.593
0.36112,0.41591,0.5931
0.36679,0.41507,0.59351
0.36871,0.41482,0.59481
0.19158,0.54694,0.65022
0.19283,0.54316,0.64794
0.19438,0.53951,0.64583
0.19609,0.53595,0.6438
0.19795,0.53246,0.64189
0.19984,0.52901,0.63995
0.20175,0.52557,0.63798
0.20376,0.52219,0.63611
0.20586,0.51885,0.63428
0.20803,0.51555,0.63248
0.21031,0.51232,0.63074
0.21266,0.50912,0.62902
0.21513,0.506,0.62743
0.21761,0.50287,0.62577
0.22008,0.49975,0.62408
0.22264,0.49667,0.62247
0.22524,0.49362,0.62089
0.22787,0.49059,0.61932
0.23054,0.48757,0.61777
0.23325,0.48458,0.61623
0.23598,0.4816,0.61471
0.23875,0.47865,0.61321
0.24155,0.4757,0.61172
0.24436,0.47277,0.61025
0.24721,0.46986,0.60878
0.25008,0.46696,0.60734
0.25296,0.46407,0.60588
0.25586,0.46119,0.60445
0.25879,0.45832,0.60302
0.26196,0.45559,0.60173
0.26543,0.45303,0.60057
0.2691,0.45059,0.59953
0.27297,0.44828,0.59861
0.27698,0.446,0.59767
0.28116,0.44385,0.59687
0.28547,0.44178,0.59615
0.28992,0.43977,0.59547
0.29449,0.43783,0.59486
0.29916,0.43595,0.59429
0.30389,0.43412,0.59379
0.30868,0.4323,0.59327
0.31355,0.43054,0.59281
0.31848,0.42882,0.5924
0.32339,0.42708,0.59195
0.32835,0.42537,0.59154
0.33337,0.42369,0.59116
0.33835,0.42208,0.59088
0.34352,0.4204,0.59044
0.34876,0.41884,0.59016
0.35412,0.41742,0.59005
0.36001,0.41621,0.59002
0.36569,0.41538,0.59047
0.36714,0.41515,0.59182
0.19287,0.54427,0.64561
0.19435,0.54055,0.64351
0.19597,0.53695,0.64143
0.19766,0.5334,0.63936
0.19951,0.52992,0.6374
0.20144,0.52648,0.63549
0.20342,0.52308,0.6336
0.20548,0.51972,0.63175
0.20763,0.51641,0.62994
0.20992,0.51318,0.62824
0.21222,0.50996,0.62646
0.21467,0.50682,0.62485
0.21709,0.50367,0.62312
0.2196,0.50056,0.6215
0.22217,0.49749,0.6199
0.22475,0.49443,0.6183
0.22738,0.49139,0.61673
0.23009,0.48841,0.61525
0.23275,0.48539,0.61364
0.23549,0.48241,0.61212
0.2383,0.47948,0.61069
0.24109,0.47654,0.6092
0.24387,0.47358,0.60766
0.24671,0.47066,0.60619
0.24957,0.46776,0.60474
0.25246,0.46487,0.60329
0.25536,0.46199,0.60186
0.2583,0.45913,0.60045
0.26141,0.45636,0.5991
0.26483,0.45378,0.59794
0.26844,0.4513,0.59685
0.27224,0.44893,0.59585
0.27621,0.44665,0.59495
0.28034,0.44448,0.59413
0.2846,0.44236,0.59336
0.289,0.44034,0.59268
0.29351,0.43836,0.59202
0.29812,0.43646,0.59145
0.30283,0.4346,0.5909
0.3076,0.43277,0.59039
0.31238,0.43104,0.59002
0.31732,0.42923,0.58946
0.32223,0.42751,0.58904
0.32718,0.42579,0.58861
0.33209,0.42411,0.58826
0.3372,0.42242,0.58784
0.3423,0.42085,0.5876
0.34735,0.41926,0.58731
0.35295,0.41777,0.58701
0.3588,0.41656,0.58703
0.36435,0.41579,0.58754
0.36643,0.41546,0.58877
0.19448,0.54171,0.64122
0.19594,0.53804,0.63904
0.19761,0.53445,0.637
0.19938,0.53093,0.635
0.20124,0.52746,0.63305
0.20323,0.52404,0.63119
0.20525,0.52067,0.62932
0.20731,0.51732,0.62743
0.20959,0.51408,0.62573
0.21187,0.51085,0.62395
0.21429,0.50769,0.62231
0.2167,0.50453,0.62058
0.2192,0.50143,0.61896
0.22175,0.49834,0.61735
0.22432,0.49527,0.61574
0.22699,0.49226,0.61424
0.22961,0.48922,0.61261
0.23231,0.48622,0.61108
0.23505,0.48325,0.60957
0.23781,0.48029,0.60807
0.24059,0.47734,0.60656
0.24341,0.47441,0.60508
0.24626,0.4715,0.60363
0.24912,0.46859,0.60217
0.25199,0.46569,0.60072
0.2549,0.46281,0.59928
0.25782,0.45995,0.59786
0.26088,0.45715,0.5965
0.26425,0.45454,0.59529
0.26782,0.45204,0.59419
0.27158,0.44965,0.59319
0.2755,0.44734,0.59226
0.27956,0.44512,0.59139
0.28378,0.44298,0.59061
0.28812,0.44093,0.5899
0.29258,0.43892,0.58922
0.29715,0.43699,0.58861
0.30181,0.43511,0.58805
0.30656,0.43327,0.58753
0.31133,0.43145,0.58702
0.31618,0.42968,0.58655
0.3211,0.42796,0.58613
0.32604,0.42623,0.58571
0.33102,0.42452,0.58528
0.33601,0.42284,0.5849
0.3411,0.42118,0.58453
0.3462,0.41963,0.5843
0.35173,0.41816,0.58406
0.3573,0.41703,0.58421
0.36282,0.41625,0.58469
0.36502,0.41589,0.58587
0.19619,0.53926,0.63683
0.19778,0.53561,0.63477
0.19942,0.53204,0.63268
0.20125,0.52853,0.63074
0.20313,0.52507,0.6288
0.20509,0.52166,0.6269
0.20716,0.51831,0.62505
0.20931,0.51501,0.62321
0.21159,0.51178,0.62146
0.21396,0.5086,0.61977
0.21638,0.50544,0.61808
0.21887,0.50232,0.61645
0.2214,0.49923,0.61483
0.22396,0.49615,0.61322
0.22658,0.49311,0.61165
0.22926,0.49011,0.61015
0.23191,0.48708,0.60854
0.23464,0.4841,0.60701
0.2374,0.48114,0.60552
0.24018,0.47819,0.60401
0.243,0.47526,0.60254
0.24582,0.47234,0.60106
0.24868,0.46943,0.5996
0.2516,0.46656,0.59823
0.25446,0.46365,0.59672
0.25738,0.46078,0.5953
0.26039,0.45796,0.59391
0.26372,0.45532,0.59269
0.26725,0.4528,0.59156
0.27096,0.45038,0.59054
0.27483,0.44805,0.58959
0.27885,0.4458,0.5887
0.28301,0.44363,0.58788
0.2873,0.44155,0.58715
0.29172,0.43952,0.58645
0.29623,0.43756,0.58583
0.30085,0.43565,0.58523
0.30554,0.43378,0.58468
0.31031,0.43196,0.58417
0.31512,0.43016,0.58368
0.32001,0.42841,0.58323
0.32493,0.42669,0.58281
0.3299,0.42497,0.58239
0.33487,0.42326,0.58197
0.33989,0.42159,0.58159
0.3451,0.42001,0.5813
