time	r	uservo	yservo	ureg	yreg	uusort	yusort
147	1	0.48168	0	0.38775	0	0.38696	0
148	1	0.48304	0	0.38987	0	0.3892	0
149	1	0.4844	0	0.392	0	0.39145	0
150	1	0.48575	0	0.39412	0	0.39369	0
151	1	0.48711	0	0.39625	0	0.39594	0
152	1	0.48847	0	0.39837	0	0.39818	0
153	1	0.48983	0	0.4005	0	0.40043	0
154	1	0.49119	0	0.40262	0	0.40267	0
155	1	0.49255	0	0.40475	0	0.40492	0
156	1	0.49391	0	0.40687	0	0.40716	0
157	1	0.49527	0	0.409	0	0.40941	0
158	1	0.49663	0	0.41112	0	0.41165	0
159	1	0.49799	0	0.41325	0	0.4139	0
160	1	0.49935	0	0.41537	0	0.41614	0
161	1	0.5007	0	0.4175	0	0.41839	0
162	1	0.50206	0	0.41962	0	0.42063	0
163	1	0.50342	0	0.42175	0	0.42288	0
164	1	0.50478	0	0.42387	0	0.42512	0
165	1	0.50614	0	0.426	0	0.42737	0
166	1	0.5075	0	0.42812	0	0.42961	0
167	1	0.50886	0	0.43025	0	0.43186	0
168	1	0.51022	0	0.43237	0	0.4341	0
169	1	0.51158	0	0.4345	0	0.43635	0
170	1	0.51294	0	0.43662	0	0.43859	0
171	1	0.5143	0	0.43875	0	0.44084	0
172	1	0.51565	0	0.44087	0	0.44308	0
173	1	0.51701	0	0.443	0	0.44533	0
174	1	0.51837	0	0.44512	0	0.44757	0
175	1	0.51973	0	0.44725	0	0.44982	0
176	1	0.52109	0	0.44937	0	0.45206	0
177	1	0.52245	0	0.4515	0	0.45431	0
178	1	0.52381	0	0.45362	0	0.45655	0
179	1	0.52517	0	0.45575	0	0.4588	0
180	1	0.52653	0	0.45787	0	0.46104	0
181	1	0.52789	0	0.46	0	0.46329	0
182	1	0.52925	0	0.46212	0	0.46553	0
183	1	0.5306	0	0.46425	0	0.46778	0
184	1	0.53196	0	0.46637	0	0.47002	0
185	1	0.53332	0	0.4685	0	0.47227	0
186	1	0.53468	0	0.47062	0	0.47451	0
187	1	0.53604	0	0.47275	0	0.47676	0
188	1	0.5374	0	0.47487	0	0.479	0
189	1	0.53876	0	0.477	0	0.48125	0
190	1	0.54012	0	0.47912	0	0.48349	0
191	1	0.54148	0	0.48125	0	0.48574	0
192	1	0.54284	0	0.48337	0	0.48798	0
193	1	0.5442	0	0.4855	0	0.49023	0
194	1	0.54555	0	0.48762	0	0.49247	0
195	1	0.54691	0	0.48975	0	0.49472	0
196	1	0.54827	0	0.49187	0	0.49696	0
197	1	0.54963	0	0.494	0	0.49921	0
198	1	0.55099	0	0.49612	0	0.50145	0
199	1	0.55235	0	0.49825	0	0.5037	0
200	1	0.55371	0	0.50037	0	0.50594	0
201	1	0.55507	0	0.5025	0	0.50819	0
202	1	0.55643	0	0.50462	0	0.51043	0
203	1	0.55779	0	0.50675	0	0.51267	0
204	1	0.55915	0	0.50887	0	0.51492	0
205	1	0.5605	0	0.511	0	0.51716	0
206	1	0.56186	0	0.51312	0	0.51941	0
207	1	0.56322	0	0.51525	0	0.52165	0
208	1	0.56458	0	0.51737	0	0.5239	0
209	1	0.56594	0	0.5195	0	0.52614	0
210	1	0.5673	0	0.52162	0	0.52839	0
211	1	0.56866	0	0.52375	0	0.53063	0
212	1	0.57002	0	0.52587	0	0.53288	0
213	1	0.57138	0	0.528	0	0.53512	0
214	1	0.57274	0	0.53012	0	0.53737	0
215	1	0.5741	0	0.53225	0	0.53961	0
216	1	0.57545	0	0.53437	0	0.54186	0
217	1	0.57681	0	0.5365	0	0.5441	0
218	1	0.57817	0	0.53862	0	0.54635	0
219	1	0.57953	0	0.54075	0	0.54859	0
220	1	0.58089	0	0.54287	0	0.55084	0
221	1	0.58225	0	0.545	0	0.55308	0
222	1	0.58361	0	0.54713	0	0.55533	0
223	1	0.58497	0	0.54925	0	0.55757	0
224	1	0.58633	0	0.55138	0	0.55982	0
225	1	0.58769	0	0.5535	0	0.56206	0
226	1	0.58905	0	0.55563	0	0.56431	0
227	1	0.5904	0	0.55775	0	0.56655	0
228	1	0.59176	0	0.55988	0	0.5688	0
229	1	0.59312	0	0.562	0	0.57104	0
230	1	0.59448	0	0.56413	0	0.57329	0
231	1	0.59584	0	0.56625	0	0.57553	0
232	1	0.5972	0	0.56838	0	0.57778	0
233	1	0.59856	0	0.5705	0	0.58002	0
234	1	0.59992	0	0.57263	0	0.58227	0
235	1	0.60128	0	0.57475	0	0.58451	0
236	1	0.60264	0	0.57688	0	0.58676	0
237	1	0.604	0	0.579	0	0.589	0
238	1	0.60535	0	0.58113	0	0.59125	0
239	1	0.60671	0	0.58325	0	0.59349	0
240	1	0.60807	0	0.58538	0	0.59574	0
241	1	0.60943	0	0.5875	0	0.59798	0
242	1	0.61079	0	0.58963	0	0.60023	0
243	1	0.61215	0	0.59175	0	0.60247	0
244	1	0.61351	0	0.59388	0	0.60472	0
245	1	0.61487	0	0.596	0	0.60696	0
246	1	0.61623	0	0.59813	0	0.60921	0
247	1	0.61759	0	0.60025	0	0.61145	0
