Kp	Ti	Td	beta	Jdi	Jr	Jdin	Jrn
0.43112	237.82	44.864	0.73191	0.86207	1.297	0.20913	0.35735
0.43098	238.2	44.91	0.73471	0.86373	1.2961	0.21369	0.35289
0.43097	239.1	45.097	0.73989	0.86698	1.2937	0.22263	0.34153
0.43095	239.55	45.208	0.74142	0.86863	1.2926	0.22719	0.33594
0.43092	240	45.341	0.74304	0.87032	1.2915	0.23182	0.33042
0.43108	240.56	45.391	0.74788	0.87199	1.2901	0.2364	0.32367
0.43106	241.03	45.474	0.75112	0.87371	1.289	0.24114	0.31824
0.43102	241.49	45.596	0.75272	0.87546	1.2879	0.24596	0.31291
0.43081	241.87	45.702	0.75453	0.87726	1.2871	0.25091	0.30895
0.43097	242.45	45.76	0.75999	0.87906	1.2857	0.25586	0.30249
0.43071	243.33	45.933	0.76453	0.88277	1.2839	0.26605	0.29366
0.43088	243.96	45.959	0.7703	0.88468	1.2827	0.2713	0.28744
0.43068	244.37	45.999	0.77281	0.88657	1.2819	0.27652	0.28382
0.43063	244.87	46.084	0.77438	0.88851	1.2809	0.28184	0.279
0.43058	245.39	46.154	0.77593	0.89048	1.28	0.28725	0.27428
0.43052	245.9	46.251	0.77817	0.89247	1.279	0.29273	0.2696
0.43071	246.58	46.262	0.7842	0.89451	1.2778	0.29835	0.26366
0.43047	246.98	46.322	0.78595	0.89649	1.2771	0.30379	0.26036
0.43038	247.5	46.436	0.78766	0.89854	1.2762	0.30942	0.25584
0.43035	248.05	46.472	0.78912	0.90061	1.2753	0.31511	0.25139
0.43051	248.74	46.526	0.79344	0.90277	1.2741	0.32106	0.2457
0.43028	249.16	46.55	0.79605	0.9048	1.2735	0.32664	0.24261
0.43023	249.72	46.61	0.79911	0.90692	1.2726	0.33246	0.23827
0.43013	250.25	46.718	0.80083	0.90906	1.2717	0.33835	0.23401
0.43008	250.81	46.764	0.80235	0.91122	1.2709	0.3443	0.22982
0.43024	252.14	46.815	0.8105	0.91571	1.2689	0.35664	0.22027
0.42992	252.54	46.904	0.81117	0.91781	1.2683	0.36242	0.21746
0.42973	253.66	47.069	0.81572	0.92228	1.2667	0.37471	0.20946
0.42972	254.27	47.067	0.81708	0.92455	1.2659	0.38095	0.20555
0.42996	255.09	47.103	0.82296	0.92701	1.2648	0.38771	0.20013
0.42957	255.44	47.186	0.8227	0.92913	1.2643	0.39354	0.19783
0.42956	256.06	47.182	0.82708	0.93143	1.2635	0.39987	0.194
0.42943	256.63	47.28	0.82881	0.93375	1.2628	0.40626	0.19025
0.42932	257.21	47.369	0.8305	0.9361	1.262	0.4127	0.18652
