time	SP	PV	CV	Tci
0	76	76	34.4	320
0.1	76	75.9999999999951	34.4000000004938	320
0.2	76	75.9999999999601	34.4000000039957	320
0.3	76	75.9999999998626	34.4000000136469	320
0.4	76	75.9999999996679	34.4000000327248	320
0.5	76	75.999999999339	34.4000000646276	320
0.6	76	75.9999999988363	34.400000112876	320
0.7	76	75.9999999981184	34.4000001810941	320
0.8	76	75.9999999971414	34.4000002730124	320
0.9	76	75.9999999958593	34.4000003924584	320
1	76	75.9999999942241	34.4000005433397	320
1.1	76	75.9999999921856	34.4000007296479	320
1.2	76	75.9999999896915	34.4000009554528	320
1.3	76	75.9999999866876	34.4000012248881	320
1.4	76	75.9999999831178	34.4000015421533	320
1.5	76	75.9999999789241	34.4000019115012	320
1.6	76	75.9999999740464	34.4000023372392	320
1.7	76	75.9999999684231	34.4000028237208	320
1.8	76	75.9999999619905	34.4000033753347	320
1.9	76	75.9999999546832	34.400003996517	320
2	76	75.9999999464343	34.4000046917285	320
2.1	76	75.9999999371751	34.4000054654547	320
2.2	76	75.9999999268351	34.4000063222154	320
2.3	76	75.9999999153424	34.4000072665409	320
2.4	76	75.9999999026235	34.40000830298	320
2.5	76	75.9999998886031	34.4000094360976	320
2.6	76	75.9999998732048	34.4000106704655	320
2.7	76	75.9999998563505	34.4000120106595	320
2.8	76	75.9999998379607	34.4000134612582	320
2.9	76	75.9999998179545	34.4000150268436	320
3	76	75.9999997962496	34.4000167119889	320
3.1	76	75.9999997727625	34.4000185212644	320
3.2	76	75.9999997474083	34.4000204592345	320
3.3	76	75.9999997201008	34.4000225304479	320
3.4	76	75.9999996907526	34.4000247394434	320
3.5	76	75.9999996592752	34.4000270907474	320
3.6	76	75.9999996255787	34.4000295888609	320
3.7	76	75.9999995895723	34.400032238272	320
3.8	76	75.9999995511639	34.40003504344	320
3.9	76	75.9999995102604	34.4000380088124	320
4	76	75.9999994667677	34.400041138804	320
4.1	76	75.9999994205906	34.4000444378038	320
4.2	76	75.9999993716328	34.4000479101764	320
4.3	76	75.9999993197973	34.400051560253	320
4.4	76	75.9999992649859	34.4000553923367	320
4.5	76	75.9999992070997	34.4000594106969	320
4.6	76	75.9999991460388	34.4000636195709	320
4.7	76	75.9999990817023	34.4000680231641	320
4.8	76	75.9999990139888	34.4000726256398	320
4.9	76	75.9999989427959	34.40007743113	320
5	76	75.9999988680204	34.4000824437293	320
5.1	76	75.9999987895584	34.4000876674956	320
5.2	76	75.9999987073051	34.4000931064445	320
5.3	76	75.9999986211554	34.4000987645522	320
5.4	76	75.9999985310031	34.4001046457536	320
5.5	76	75.9999984367416	34.400110753949	320
5.6	76	75.9999983382635	34.4001170929894	320
5.7	76	75.9999982354609	34.400123666685	320
5.8	76	75.9999981282254	34.4001304788043	320
5.9	76	75.9999980164477	34.4001375330733	320
6	76	75.9999979000184	34.4001448331712	320
6.1	76	75.9999977788273	34.4001523827368	320
6.2	76	75.9999976527637	34.4001601853616	320
6.3	76	75.9999975217166	34.4001682445962	320
6.4	76	75.9999973855744	34.4001765639402	320
6.5	76	75.9999972442251	34.4001851468505	320
6.6	76	75.9999970975564	34.4001939967369	320
6.7	76	75.9999969454554	34.4002031169699	320
6.8	76	75.999996787809	34.4002125108666	320
6.9	76	75.9999966245036	34.4002221817015	320
7	76	75.9999964554255	34.4002321326995	320
7.1	76	75.9999962804605	34.4002423670451	320
7.2	76	75.9999960994941	34.4002528878683	320
7.3	76	75.9999959124117	34.4002636982568	320
7.4	76	75.9999957190983	34.4002748012518	320
7.5	76	75.9999955194387	34.4002861998486	320
7.6	76	75.9999953133174	34.4002978969955	320
7.7	76	75.9999951006189	34.4003098955957	320
7.8	76	75.9999948812273	34.4003221985017	320
7.9	76	75.9999946550267	34.4003348085233	320
8	76	75.999994421901	34.4003477284232	320
8.1	76	75.999994181734	34.4003609609149	320
8.2	76	75.9999939344091	34.4003745086729	320
8.3	76	75.9999936798102	34.4003883743143	320
8.4	76	75.9999934178205	34.4004025604252	320
8.5	76	75.9999931483234	34.4004170695336	320
8.6	76	75.9999928712025	34.400431904127	320
8.7	76	75.9999925863408	34.4004470666483	320
8.8	76	75.9999922936218	34.400462559492	320
8.9	76	75.9999919929287	34.4004783850086	320
9	76	75.9999916841449	34.4004945455076	320
9.1	76	75.9999913671536	34.4005110432524	320
9.2	76	75.9999910418382	34.4005278804588	320
9.3	76	75.9999907080821	34.4005450593025	320
9.4	76	75.9999903657689	34.4005625819134	320
9.5	76	75.999990014782	34.4005804503734	320
9.6	76	75.9999896550052	34.4005986667318	320
9.7	76	75.9999892863222	34.4006172329829	320
9.8	76	75.999988908617	34.400636151089	320
9.9	76	75.9999885217734	34.4006554229618	320
10	76	75.9999881256757	34.4006750504754	320
10.1	76	75.9999877202083	34.4006950354582	320
10.2	76	75.9999873052556	34.4007153797026	320
10.3	76	75.9999868807024	34.4007360849492	320
10.4	76	75.9999864464334	34.4007571529092	320
10.5	76	75.9999860023338	34.4007785852505	320
10.6	76	75.9999855482889	34.4008003835912	320
10.7	76	75.9999850841843	34.4008225495181	320
10.8	76	75.9999846099057	34.4008450845767	320
10.9	76	75.9999841253392	34.4008679902726	320
11	76	75.999983630371	34.4008912680701	320
11.1	76	75.9999831248878	34.4009149193962	320
11.2	76	75.9999826087763	34.4009389456396	320
11.3	76	75.9999820819238	34.4009633481472	320
11.4	76	75.9999815442177	34.400988128233	320
11.5	76	75.9999809955459	34.4010132871695	320
11.6	76	75.9999804357963	34.40103882619	320
11.7	76	75.9999798648575	34.4010647464974	320
11.8	76	75.9999792826181	34.401091049254	320
11.9	76	75.9999786889675	34.4011177355854	320
12	76	75.999978083795	34.4011448065805	320
12.1	76	75.9999774669905	34.4011722632929	320
12.2	76	75.9999768384444	34.4012001067403	320
12.3	76	75.9999761980472	34.4012283379077	320
12.4	76	75.99997554569	34.4012569577408	320
12.5	76	75.9999748812642	34.401285967159	320
12.6	76	75.9999742046618	34.401315367035	320
12.7	76	75.999973515775	34.4013451582176	320
12.8	76	75.9999728144966	34.4013753415168	320
12.9	76	75.9999721007197	34.4014059177164	320
13	76	75.9999713743379	34.4014368875582	320
13.1	76	75.9999706352454	34.4014682517572	320
13.2	76	75.9999698833366	34.4015000109897	320
13.3	76	75.9999691185067	34.4015321659047	320
13.4	76	75.999968340651	34.4015647171248	320
13.5	76	75.9999675496656	34.4015976652312	320
13.6	76	75.9999667454469	34.4016310107794	320
13.7	76	75.9999659278919	34.4016647542902	320
13.8	76	75.9999650968981	34.4016988962604	320
13.9	76	75.9999642523635	34.4017334371483	320
14	76	75.9999633941865	34.4017683773918	320
14.1	76	75.9999625222663	34.4018037173935	320
14.2	76	75.9999616365023	34.4018394575286	320
14.3	76	75.9999607367947	34.4018755981421	320
14.4	76	75.9999598230443	34.4019121395449	320
14.5	76	75.999958895152	34.4019490820323	320
14.6	76	75.9999579530197	34.4019864258586	320
14.7	76	75.9999569965498	34.4020241712614	320
14.8	76	75.9999560256451	34.4020623184433	320
14.9	76	75.9999550402091	34.4021008675819	320
15	76	75.9999540401459	34.4021398188245	320
15.1	76	75.99995302536	34.4021791722993	320
15.2	76	75.9999519957567	34.4022189281043	320
15.3	76	75.9999509512418	34.4022590863082	320
15.4	76	75.9999498917217	34.4022996469603	320
15.5	76	75.9999488171034	34.4023406100748	320
15.6	76	75.9999477272946	34.4023819756535	320
15.7	76	75.9999466222035	34.4024237436606	320
15.8	76	75.9999455017389	34.4024659140435	320
15.9	76	75.9999443658104	34.4025084867235	320
16	76	75.999943214328	34.4025514615965	320
16.1	76	75.9999420472025	34.4025948385339	320
16.2	76	75.9999408643453	34.4026386173885	320
16.3	76	75.9999396656684	34.4026827979828	320
16.4	76	75.9999384510844	34.4027273801195	320
16.5	76	75.9999372205067	34.4027723635765	320
16.6	76	75.9999359738492	34.4028177481145	320
16.7	76	75.9999347110265	34.4028635334649	320
16.8	76	75.999933431954	34.402909719342	320
16.9	76	75.9999321365475	34.4029563054362	320
17	76	75.9999308247237	34.4030032914174	320
17.1	76	75.9999294963998	34.4030506769303	320
17.2	76	75.9999281514939	34.4030984616017	320
17.3	76	75.9999267899244	34.4031466450413	320
17.4	76	75.9999254116108	34.4031952268265	320
17.5	76	75.9999240164731	34.4032442065243	320
17.6	76	75.9999226044318	34.4032935836833	320
17.7	76	75.9999211754084	34.4033433578229	320
17.8	76	75.999919729325	34.4033935284493	320
17.9	76	75.9999182661042	34.4034440950463	320
18	76	75.9999167856696	34.4034950570769	320
18.1	76	75.9999152879453	34.4035464139914	320
18.2	76	75.9999137728561	34.403598165216	320
18.3	76	75.9999122403276	34.4036503101605	320
18.4	76	75.9999106902861	34.4037028482161	320
18.5	76	75.9999091226585	34.4037557787529	320
18.6	76	75.9999075373725	34.4038091011272	320
18.7	76	75.9999059343566	34.403862814671	320
18.8	76	75.9999043135399	34.4039169187067	320
18.9	76	75.9999026748522	34.4039714125356	320
19	76	75.999901018224	34.4040262954428	320
19.1	76	75.9998993435866	34.4040815666949	320
19.2	76	75.9998976508721	34.4041372255419	320
19.3	76	75.9998959400132	34.4041932712171	320
19.4	76	75.9998942109434	34.4042497029396	320
19.5	76	75.9998924635968	34.4043065199097	320
19.6	76	75.9998906979083	34.4043637213155	320
19.7	76	75.9998889138137	34.4044213063242	320
19.8	76	75.9998871112493	34.40447927409	320
19.9	76	75.9998852901523	34.4045376237515	320
20	76	75.9998834504604	34.4045963544361	320
20.1	76	75.9998815921124	34.4046554652475	320
20.2	76	75.9998797150475	34.4047149552808	320
20.3	76	75.9998778192059	34.4047748236164	320
20.4	76	75.9998759045284	34.4048350693147	320
20.5	76	75.9998739709565	34.4048956914285	320
20.6	76	75.9998720184327	34.4049566889938	320
20.7	76	75.9998700468998	34.4050180610336	320
20.8	76	75.9998680563019	34.4050798065534	320
20.9	76	75.9998660465833	34.4051419245504	320
21	76	75.9998640176895	34.4052044140035	320
21.1	76	75.9998619695665	34.4052672738783	320
21.2	76	75.9998599021611	34.4053305031324	320
21.3	76	75.9998578154209	34.405394100706	320
21.4	76	75.9998557092941	34.4054580655323	320
21.5	76	75.9998535837299	34.4055223965229	320
21.6	76	75.9998514386781	34.4055870925841	320
21.7	76	75.9998492740892	34.4056521526059	320
21.8	76	75.9998470899146	34.4057175754659	320
21.9	76	75.9998448861064	34.405783360033	320
22	76	75.9998426626173	34.4058495051628	320
22.1	76	75.999840419401	34.4059160097023	320
22.2	76	75.9998381564118	34.4059828724785	320
22.3	76	75.9998358736049	34.4060500923131	320
22.4	76	75.9998335709361	34.4061176680125	320
22.5	76	75.999831248362	34.4061855983812	320
22.6	76	75.9998289058399	34.4062538822039	320
22.7	76	75.9998265433281	34.4063225182566	320
22.8	76	75.9998241607854	34.4063915053048	320
22.9	76	75.9998217581714	34.4064608421039	320
23	76	75.9998193354466	34.4065305273963	320
23.1	76	75.9998168925721	34.4066005599204	320
23.2	76	75.9998144295098	34.4066709383973	320
23.3	76	75.9998119462224	34.4067416615443	320
23.4	76	75.9998094426733	34.4068127280649	320
23.5	76	75.9998069188266	34.4068841366529	320
23.6	76	75.9998043746475	34.406955885993	320
23.7	76	75.9998018101014	34.4070279747632	320
23.8	76	75.9997992251549	34.4071004016256	320
23.9	76	75.9997966197752	34.40717316524	320
24	76	75.9997939939302	34.4072462642559	320
24.1	76	75.9997913475886	34.4073196973097	320
24.2	76	75.9997886807199	34.4073934630317	320
24.3	76	75.9997859932944	34.4074675600434	320
24.4	76	75.9997832852829	34.4075419869579	320
24.5	76	75.9997805566572	34.4076167423807	320
24.6	76	75.9997778073899	34.4076918249032	320
24.7	76	75.999775037454	34.4077672331198	320
24.8	76	75.9997722468236	34.4078429656048	320
24.9	76	75.9997694354733	34.4079190209314	320
25	76	75.9997666033788	34.4079953976628	320
25.1	76	75.9997637505161	34.408072094354	320
25.2	76	75.9997608768622	34.4081491095575	320
25.3	76	75.9997579823949	34.4082264418115	320
25.4	76	75.9997550670926	34.4083040896488	320
25.5	76	75.9997521309344	34.4083820515928	320
25.6	76	75.9997491739005	34.4084603261657	320
25.7	76	75.9997461959713	34.4085389118757	320
25.8	76	75.9997431971285	34.4086178072258	320
25.9	76	75.999740177354	34.4086970107194	320
26	76	75.9997371366308	34.4087765208443	320
26.1	76	75.9997340749427	34.4088563360832	320
26.2	76	75.9997309922739	34.4089364549118	320
26.3	76	75.9997278886096	34.4090168758036	320
26.4	76	75.9997247639356	34.4090975972223	320
26.5	76	75.9997216182385	34.409178617629	320
26.6	76	75.9997184515057	34.409259935468	320
26.7	76	75.9997152637252	34.4093415491926	320
26.8	76	75.9997120548857	34.4094234572376	320
26.9	76	75.9997088249768	34.4095056580381	320
27	76	75.9997055739888	34.4095881500208	320
27.1	76	75.9997023019125	34.4096709316128	320
27.2	76	75.9996990087398	34.4097540012251	320
27.3	76	75.9996956944629	34.4098373572721	320
27.4	76	75.9996923590751	34.4099209981552	320
27.5	76	75.9996890025701	34.4100049222786	320
27.6	76	75.9996856249427	34.4100891280337	320
27.7	76	75.999682226188	34.4101736138131	320
27.8	76	75.9996788063022	34.4102583779978	320
27.9	76	75.9996753652818	34.4103434189716	320
28	76	75.9996719031244	34.4104287351061	320
28.1	76	75.9996684198282	34.4105143247717	320
28.2	76	75.9996649153919	34.4106001863335	320
28.3	76	75.9996613898152	34.4106863181537	320
28.4	76	75.9996578430983	34.4107727185877	320
28.5	76	75.9996542752423	34.4108593859822	320
28.6	76	75.9996506862488	34.410946318687	320
28.7	76	75.9996470761203	34.4110335150456	320
28.8	76	75.9996434448597	34.4111209733934	320
28.9	76	75.9996397924711	34.4112086920647	320
29	76	75.9996361189587	34.4112966693913	320
29.1	76	75.9996324243279	34.4113849036955	320
29.2	76	75.9996287085845	34.4114733933008	320
29.3	76	75.9996249717351	34.4115621365295	320
29.4	76	75.9996212137869	34.4116511316894	320
29.5	76	75.999617434748	34.4117403770941	320
29.6	76	75.9996136346269	34.411829871051	320
29.7	76	75.999609813433	34.4119196118629	320
29.8	76	75.9996059711764	34.4120095978278	320
29.9	76	75.9996021078676	34.4120998272418	320
30	76	75.9995982235182	34.4121902984002	320
30.1	76	75.9995943181401	34.4122810095888	320
30.2	76	75.9995903917461	34.4123719590956	320
30.3	76	75.9995864443496	34.4124631452059	320
30.4	76	75.9995824759647	34.412554566198	320
30.5	76	75.9995784866061	34.4126462203505	320
30.6	76	75.9995744762892	34.4127381059362	320
30.7	76	75.9995704450301	34.4128302212276	320
30.8	76	75.9995663928457	34.4129225644943	320
30.9	76	75.9995623197532	34.4130151339982	320
31	76	75.9995582257707	34.413107928005	320
31.1	76	75.9995541109171	34.4132009447739	320
31.2	76	75.9995499752117	34.413294182565	320
31.3	76	75.9995458186744	34.4133876396314	320
31.4	76	75.9995416413261	34.4134813142294	320
31.5	76	75.9995374431881	34.4135752046084	320
31.6	76	75.9995332242823	34.413669309018	320
31.7	76	75.9995289846313	34.4137636257044	320
31.8	76	75.9995247242586	34.4138581529081	320
31.9	76	75.999520443188	34.4139528888736	320
32	76	75.999516141444	34.4140478318431	320
32.1	76	75.9995118190519	34.414142980051	320
32.2	76	75.9995074760375	34.414238331738	320
32.3	76	75.9995031124272	34.4143338851353	320
32.4	76	75.9994987282483	34.4144296384739	320
32.5	76	75.9994943235283	34.4145255899883	320
32.6	76	75.9994898982957	34.4146217379052	320
32.7	76	75.9994854525794	34.4147180804557	320
32.8	76	75.9994809864091	34.4148146158645	320
32.9	76	75.9994764998149	34.4149113423543	320
33	76	75.9994719928278	34.4150082581471	320
33.1	76	75.9994674654791	34.4151053614669	320
33.2	76	75.999462917801	34.4152026505335	320
33.3	76	75.999458349826	34.4153001235669	320
33.4	76	75.9994537615876	34.4153977787814	320
33.5	76	75.9994491531196	34.4154956143982	320
33.6	76	75.9994445244564	34.4155936286325	320
33.7	76	75.9994398756333	34.4156918196958	320
33.8	76	75.9994352066858	34.4157901858048	320
33.9	76	75.9994305176504	34.4158887251707	320
34	76	75.9994258085638	34.4159874360052	320
34.1	76	75.9994210794636	34.4160863165173	320
34.2	76	75.9994163303878	34.4161853649202	320
34.3	76	75.9994115613752	34.4162845794209	320
34.4	76	75.9994067724648	34.416383958232	320
34.5	76	75.9994019636966	34.4164834995595	320
34.6	76	75.9993971351111	34.4165832016071	320
34.7	76	75.9993922867491	34.416683062585	320
34.8	76	75.9993874186521	34.4167830807018	320
34.9	76	75.9993825308625	34.4168832541591	320
35	76	75.9993776234228	34.4169835811655	320
35.1	76	75.9993726963764	34.4170840599264	320
35.2	76	75.999367749767	34.4171846886436	320
35.3	76	75.9993627836392	34.4172854655255	320
35.4	76	75.9993577980377	34.4173863887751	320
35.5	76	75.9993527930082	34.4174874565957	320
35.6	76	75.9993477685968	34.4175886671921	320
35.7	76	75.99934272485	34.4176900187703	320
35.8	76	75.9993376618151	34.4177915095332	320
35.9	76	75.9993325795397	34.4178931376874	320
36	76	75.9993274780722	34.4179949014328	320
36.1	76	75.9993223574614	34.4180967989758	320
